location,latitude,longitude,all_admixture,a_admixture,x_admixture
Nias,1,97.5,1,1,1
Malaysia,4.4,102.8,1,0.97,0.99
Sumatra,-2.4,103.5,1,1,1
Vietnam,14,108,1,1,1
JavaJavanese,-7.48,110,1,1,1
China,24,111,1,1,1
Borneo,1,114,1,0.99,1
Bali,-8.65,115.21,0.99,0.95,1
Sumba,-9.67,120,0.81,0.74,0.86
Taiwan,23.4,120.9,1,1,1
Sulawesi,2,121,0.97,0.91,0.99
Philippines,14.6,121.3,1,1,1
Flores,-8.66,121.38,0.66,0.62,0.69
Alor,-8.25,124.75,0.51,0.49,0.54
West Timor,-9.23,124.93,0.64,0.58,0.7
Maluku Halmahera,0.6,127.86,0.67,0.64,0.72
New Guinea Island,-5.5,141,0.14,0.13,0.16
Bismarck Archipelago,-5.94,150.25,0,0,0
Bougainville,-6.37,155.35,0,0,0
Vanuatu,-15.57,166.95,0.06,0.02,0.14
